"","PercentageValues.Total.No.Of.Schools","PercentageValues.Schools.Approachable.By.Road.in.All.Weather","PercentageValues.Washrooms.For.Both","PercentageValues.Playground.Facilitated.Schools","PercentageValues.Boundarywall.Facilitated.Schools","PercentageValues.Drinking.Water.Facilitated.Schools","PercentageValues.Electricity.Facilitated.Schools","PercentageValues.Computer.Facilitated.Schools","PercentageValues.Mid.Day.Meal.Facilitated.Schools","PercentageValues.Total.Teachers"
"592",100,90.9198578760363,97.8681405448085,76.7864192656929,79.0367153572839,99.8815633636005,40.8606395578366,9.31701539676273,68.7722068693249,399.170943545203
"593",100,99.2952231793265,98.3555207517619,74.1190289741582,63.5865309318716,99.8825371965544,42.5215348472984,11.1198120595145,71.6523101018011,295.379796397807
"594",100,95.063829787234,98.5248226950355,85.0212765957447,67.5744680851064,98.2127659574468,35.0921985815603,12.0851063829787,62.4964539007092,471.234042553192
"595",100,98.425735797399,98.0150581793292,67.5906913073238,92.6762491444216,99.9315537303217,55.2361396303901,25.7357973990418,53.3196440793977,409.479808350445
"596",100,98.6192083461184,98.3430500153421,76.6799631788892,80.4848112918073,98.8953666768948,50.7824486038662,15.2500767106474,67.9349493709727,388.309297330469
"597",100,96.0235640648012,95.3460972017673,44.1826215022091,56.2886597938144,96.2886597938144,32.459499263623,8.74815905743741,71.3107511045655,396.553755522828
"598",100,93.138936535163,96.8553459119497,57.8616352201258,85.4202401372213,96.0548885077187,37.9073756432247,12.464265294454,84.1623785020011,358.833619210978
"599",100,96.9378286421281,97.6492421899165,79.771110423755,57.8410145375812,100,52.0569130838231,9.46489328796783,78.1008351376431,356.851221775441
"600",100,95.7191392978482,97.6896942242356,60.8607021517554,53.9750849377123,99.2751981879955,40.7474518686297,13.6579841449604,70.1019252548131,450.554926387316
"601",100,96.0743801652893,95.3305785123967,81.0743801652893,87.9545454545455,99.3595041322314,59.9380165289256,18.9669421487603,37.6859504132231,393.347107438017
"602",100,95.9686450167973,96.9391564016424,56.4762971257932,63.7364688316536,99.7013811123554,34.6771183277342,7.01754385964912,63.3072041806644,468.103770063457
"603",100,94.8617704551801,93.1304104998604,73.9179000279252,75.7051103043842,98.9946942194918,39.2069254398213,16.8947221446523,61.2119519687238,490.393744764032
"604",100,95.6891495601173,96.4809384164223,64.2228739002933,60.4398826979472,96.158357771261,35.1319648093842,8.53372434017595,57.2140762463343,440.058651026393
"605",100,95.6004427227449,97.4266740453791,82.7614831211954,51.4665190924184,97.7863862755949,26.1206419479801,8.16270060874377,77.2827891532928,520.669618151633
"606",100,99.483092827913,97.4800775360758,76.3084212793453,92.3756192117166,100,46.1124273099289,22.8516045660134,49.5153995261684,415.291837174241
"607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",100,96.0850801479655,97.7805178791615,62.9469790382244,66.1528976572133,97.9963008631319,33.3230579531443,5.82614056720099,83.3230579531443,302.09617755857
"609",100,93.8230994152047,90.2412280701754,73.6476608187134,67.2149122807018,100,44.6637426900585,11.0014619883041,68.8961988304094,337.536549707602
"610",100,99.2765273311897,95.6591639871383,60.7315112540193,80.9485530546624,99.8794212218649,46.2620578778135,22.3070739549839,62.0578778135048,819.252411575563
"611",100,93.6825885978428,98.547215496368,43.8036539731455,48.4921857803214,98.7233105877174,29.1877613911512,6.69161347127449,63.2621615672463,340.127668941228
"612",100,96.0215053763441,84.3548387096774,69.0860215053764,76.1290322580645,97.8494623655914,48.010752688172,17.0967741935484,66.1290322580645,441.989247311828
"613",100,88.9311270125224,97.8085867620751,64.6914132379249,49.8211091234347,98.9490161001789,25.134168157424,11.9633273703041,71.9141323792487,422.160107334526
"614",100,95.6043956043956,98.7593052109181,68.6990428925913,67.741935483871,99.9291031549096,30.2020560085076,8.47217298830202,83.1619992910315,419.78021978022
"615",100,97.8871978513876,98.1915846016115,46.5532676812892,62.72157564906,99.0331244404655,34.55684870188,31.1727842435094,62.1844225604297,415.613249776186
"616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",100,98.9130434782609,98.0434782608696,72.9710144927536,86.4492753623188,100,61.7391304347826,13.0434782608696,75.7246376811594,325.144927536232
"618",100,91.1929017417023,99.2441669405192,85.0476503450542,52.7768649359185,99.2770292474532,43.5096943805455,27.7029247453171,69.8652645415708,284.061781137036
"619",100,96.2974991880481,98.148749594024,66.969795388113,70.2176031178954,98.8632672945762,31.6336472880805,15.5245209483599,73.5303670022735,414.810003247808
"620",100,96.2693798449613,99.1279069767442,60.2713178294574,57.7761627906977,97.2383720930232,31.8798449612403,9.71414728682171,76.2839147286822,378.052325581395
"621",100,96.4667005592272,97.2292831723437,85.2567361464159,47.8901881037112,94.9669547534316,32.3843416370107,12.4809354346721,74.580579562786,502.287747839349
"622",100,100,98.093508851566,82.6600090785293,76.6908760780753,99.5687698592828,39.6504766227871,13.8447571493418,71.2210621879256,382.750794371312
"623",100,94.6307033022435,97.9581547769095,67.3808923619864,64.8600957902697,96.7481724224855,26.9977312830855,10.8646332240988,67.1792286362491,412.049407612806
"624",100,86.2794612794613,98.3585858585859,70.496632996633,64.7306397306397,99.3265993265993,46.8434343434343,11.4478114478114,63.6784511784512,400.084175084175
"625",100,93.7859608745685,98.4752589182969,52.7905638665132,61.1910241657077,98.0437284234753,41.3693901035673,8.1415420023015,76.5247410817031,356.127733026467
"626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",100,99.1279069767442,97.2674418604651,57.5,93.2558139534884,100,75.3488372093023,32.1511627906977,35.1744186046512,543.255813953488
"628",100,97.8452843518191,97.0681737901801,79.3712469092194,93.9950547509714,99.9646767926528,71.3175556340516,14.4118685976687,45.4962910632285,430.413281525963
"629",100,96.5085638998682,97.364953886693,84.7826086956522,96.0474308300395,99.4071146245059,81.1594202898551,43.4123847167325,47.562582345191,602.635046113307
"630",100,98.3800773694391,98.3800773694391,83.5831721470019,94.7292069632495,97.6547388781431,67.142166344294,18.2301740812379,49.6615087040619,447.848162475822
"631",100,97.9341510652034,98.6442866365397,94.286636539703,80.3744351194319,99.4835377663008,46.3524854744997,10.942543576501,60.4260813428018,385.958683021304
